01/04/2016 07:59:30 AM	Trend	1451923170
Time	HR	ST1	ST2	ST3	Imped.	P1sys	P1dia	P1mean	PR(P1)	P2sys	P2dia	P2mean	PR(P2)	P3sys	P3dia	P3mean	PR(P3)	P4sys	P4dia	P4mean	PR(P4)	NIBPsys	NIBPdia	NIBPmean	PR(NIBP)	T1	T2	T3	T4	SpO2	PR(SpO2)	SpO2_ir	SVO2p	EtCO2	FiCO2	RR(CO2)	Pamb	FeO2	FiO2	FeN2O	FiN2O	FeAA	FiAA	MAC	RR(Spiro)	Ppeak	PEEP	Pplat	TVinsp	TVexp	Compl	MVexp	C.O.	Tblood	RVEF	PCWP	T1%	TOF%	PTC	HR(ECG)	HRmax	HRmin	SvO2	P5sys	P5dia	P5mean	PR(P5)	P6sys	P6dia	P6mean	PR(P6)	Marker	
08:01:14	106.0	1.3	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	109.0	-327.68	-327.68	4.21	0.13	21.0	759.8	72.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	1.0	1.0	-327.68	25.0	9.0	-327.68	0.6	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	106.0	107.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:01:24	109.0	1.6	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	112.0	-327.68	-327.68	1.71	0.26	19.0	759.8	71.0	78.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	13.0	12.0	-327.68	2.0	14.0	-327.68	0.4	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	109.0	112.0	110.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:01:34	105.0	2.0	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	104.0	-327.68	-327.68	1.71	0.26	19.0	759.8	71.0	78.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	4.0	3.0	-327.68	94.0	0.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	105.0	105.0	102.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:01:44	102.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	100.0	-327.68	-327.68	2.11	0.0	13.0	759.8	75.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	33.0	2.0	-327.68	21.0	27.0	-327.68	0.2	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	102.0	103.0	98.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:01:54	102.0	1.4	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	103.0	-327.68	-327.68	2.11	0.0	13.0	759.8	75.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	33.0	7.0	-327.68	50.0	23.0	-327.68	0.2	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	102.0	102.0	100.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:02:04	103.0	1.3	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	99.0	105.0	-327.68	-327.68	0.39	0.39	0.0	759.8	79.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	32.0	15.0	-327.68	52.0	40.0	-327.68	0.2	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	103.0	105.0	104.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:02:14	104.0	1.5	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	106.0	-327.68	-327.68	3.16	0.13	-32768.0	759.8	74.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	26.0	12.0	-327.68	14.0	18.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	104.0	105.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:02:24	104.0	0.9	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	102.0	-327.68	-327.68	5.66	0.26	20.0	759.8	69.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	25.0	1.0	-327.68	23.0	11.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	104.0	103.0	102.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:02:34	105.0	1.0	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	108.0	-327.68	-327.68	2.76	0.13	21.0	759.8	74.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	25.0	1.0	-327.68	23.0	11.0	-327.68	0.4	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	105.0	109.0	104.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:02:44	102.0	0.9	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	100.0	-327.68	-327.68	2.76	0.13	21.0	759.8	74.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	25.0	1.0	-327.68	23.0	11.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	102.0	104.0	96.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
